,제품코드,ATC코드,규격,단위,상한금액,전일,급여여부
23459,641803350,,1,캡슐,,전문,0
23460,653801770,,1,캡슐,,전문,0
23461,661900720,,1,캡슐,,일반,0
23462,643200510,,1,캡슐,,일반,0
23463,674400060,,1,매,,일반,0
23464,661901740,,1,캡슐,,일반,0
23465,647600690,,1,캡슐,,일반,0
23466,644802990,,1,정,,일반,0
23467,643701300,,1,정,,전문,0
23468,679600090,,1,캡슐,,일반,0
23469,698501330,,1,캡슐,,일반,0
23470,649803440,,1,정,,일반,0
23471,664101400,,1,캡슐,,일반,0
23472,641700010,,1,캡슐,,일반,0
23473,645601990,,1,매,,일반,0
23474,644701810,,1,정,,전문,0
23475,644701820,,1,정,,전문,0
23476,641601420,,1,정,,전문,0
23477,654701020,,1,정,,전문,0
23478,644600120,,1,캡슐,,일반,0
23479,641600720,,1,정,,전문,0
23480,641602150,,1,정,,일반,0
23481,679800960,,1,매,,일반,0
23482,649802350,,1,캡슐,,일반,0
23483,645600860,,1,매,,일반,0
23484,641700330,,1,매,,일반,0
23485,649802560,,1,정,,일반,0
23486,664101760,,1,정,,일반,0
23487,649800440,,1,정,,전문,0
23488,643302430,,1,정,,일반,0
23489,643303500,,1,매,,일반,0
23490,641702410,,1,캡슐,,일반,0
23491,653801900,,1,캡슐,,일반,0
23492,642100540,,1,캡슐,,일반,0
23493,648601200,,1,캡슐,,일반,0
23494,657500040,,1,캡슐,,일반,0
23495,659900020,,1,캡슐,,일반,0
23496,674400020,,1,매,,일반,0
23497,645602150,,1,매,,일반,0
23498,642902110,,1,매,,일반,0
23499,655603230,,1,정,,전문,0
23500,642100810,,1,캡슐,,일반,0
23501,657301780,,1,캡슐,,일반,0
23502,657302380,,1,정,,전문,0
23503,657303440,,1,캡슐,,일반,0
23504,657304150,,1,캡슐,,일반,0
23505,649505890,,1,캡슐,,일반,0
23506,644601650,,1,정,,일반,0
23507,642202480,,1,정,,일반,0
23508,642100500,,1,정,,일반,0
23509,647201850,,1,정,,일반,0
23510,658201770,,1,캡슐,,일반,0
23511,652902250,,1,정,,일반,0
23512,644911910,,1,정,,일반,0
23513,643603310,,1,매,,일반,0
23514,654801750,,1,캡슐,,일반,0
23515,641100450,,1,정,,전문,0
23516,642704130,,1,매,,일반,0
23517,642704140,,1,매,,일반,0
23518,642704150,,1,매,,일반,0
23519,642902770,,1,정,,일반,0
23520,641702870,,1,정,,일반,0
23521,658202350,,1,정,,일반,0
23522,674400090,,1,매,,전문,0
23523,643201340,,1,정,,일반,0
23524,654002020,,1,정,,일반,0
23525,641100710,,21,정,,전문,0
23526,669603000,,1,정,,일반,0
23527,657803120,,1,캡슐,,일반,0
23528,664601220,,1,정,,전문,0
23529,642103030,,1,정,,일반,0
23530,641904400,,1,매,,일반,0
23531,665000800,,1,매,,일반,0
23532,679600400,,1,캡슐,,일반,0
23533,654801820,,1,캡슐,,일반,0
23534,698501500,,1,캡슐,,일반,0
23535,679600390,,1,캡슐,,일반,0
23536,679700190,,1,정,,일반,0
23537,651600980,,1,정,,일반,0
23538,644306190,,1,정,,전문,0
23539,698501510,,1,정,,일반,0
23540,644804550,,1,정,,일반,0
23541,654201520,,1,캡슐,,일반,0
23542,658104250,,1,정,,일반,0
